          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
               D2O      433       8    0.386026  -0.274834    0.083338    0.000000    1.0121      1   0.390584  -0.273896    0.081950    0.000000   
                D4       45       6    0.208989  -0.071777    0.013392    0.000000    0.7789      1   0.329926  -0.139687    0.030344    0.000000   
                D5       62       6    0.208989  -0.071777    0.013392    0.000000    0.7754      1   0.341626  -0.141894    0.029997    0.000000   
                D6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               DEA       64       7    0.309980  -0.132994    0.031202    0.000000    1.5499      1   0.194318  -0.075414    0.015217    0.000000   
            DECANE      567       5    0.304857  -0.134210    0.030872    0.000000    1.0196      1   0.337879  -0.157690    0.036684    0.000000   
               DEE      124       3    0.448576  -0.231852    0.061359    0.000000    1.1478      1   0.360596  -0.174449    0.043765    0.000000   
               DMC      148       3    0.448576  -0.231852    0.061359    0.000000    1.1924      1   0.442869  -0.252558    0.067172    0.000000   
               DME      229       3    0.448576  -0.231852    0.061359    0.000000    1.0871      1   0.505560  -0.326425    0.096956    0.000000   
          EBENZENE      461       4    0.335355  -0.167823    0.043342    0.000000    0.9630      1   0.426070  -0.232192    0.060723    0.000000   
           EGLYCOL      214       7    0.309980  -0.132994    0.031202    0.000000    1.1100      1   0.408071  -0.214543    0.051928    0.000000   
            ETHANE     1890       3    0.448576  -0.231852    0.061359    0.000000    0.9724      1   0.462953  -0.238360    0.063168    0.000000   
           ETHANOL      883       7    0.309980  -0.132994    0.031202    0.000000    1.1695      1   0.175211  -0.050332    0.009682    0.000000   
          ETHYLENE      115       3    0.448576  -0.231852    0.061359    0.000000    0.9386      1   0.340967  -0.132952    0.033542    0.000000   
     ETHYLENEOXIDE       52       3    0.448576  -0.231852    0.061359    0.000000    1.1304      1   0.628162  -0.406237    0.112690    0.000000   
          FLUORINE      924       2    0.477382  -0.221533    0.059578    0.000000    1.0698      1   0.520341  -0.299343    0.088240    0.000000   
               H2S      161       7    0.309980  -0.132994    0.031202    0.000000    0.7511      1   1.673994  -1.644489    0.567135    0.000000   
               HCL       93       7    0.309980  -0.132994    0.031202    0.000000    0.8041      1   0.346405  -0.142005    0.037626    0.000000   
            HELIUM      381       1    0.251886   0.247561   -0.146890    0.000000    3.8862      1   0.960953  -1.783681    0.887663    0.000000   
           HEPTANE     1124       5    0.304857  -0.134210    0.030872    0.000000    0.9131      1   0.381167  -0.187238    0.045949    0.000000   
            HEXANE      846       5    0.304857  -0.134210    0.030872    0.000000    0.8763      1   0.410307  -0.206954    0.051768    0.000000   
          HYDROGEN      978       1    0.251886   0.247561   -0.146890    0.000000    1.0863      1   0.244892   0.144930   -0.087805    0.000000   
           IBUTENE       81       3    0.448576  -0.231852    0.061359    0.000000    1.0059      1   0.494785  -0.283891    0.078713    0.000000   
           IHEXANE      185       5    0.304857  -0.134210    0.030872    0.000000    0.8557      1   0.436911  -0.224450    0.056366    0.000000   
           IOCTANE      179       5    0.304857  -0.134210    0.030872    0.000000    0.8269      1   0.486024  -0.263486    0.068144    0.000000   
          IPENTANE      134       3    0.448576  -0.231852    0.061359    0.000000    1.0341      1   0.318393  -0.118756    0.027013    0.000000   
          ISOBUTAN      344       3    0.448576  -0.231852    0.061359    0.000000    0.9620      1   0.447885  -0.222377    0.058503    0.000000   
           KRYPTON      192       2    0.477382  -0.221533    0.059578    0.000000    0.9816      1   0.503014  -0.262512    0.081932    0.000000   
              MD2M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD3M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD4M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               MDM       20       6    0.208989  -0.071777    0.013392    0.000000    0.8072      1   0.221150  -0.063254    0.010423    0.000000   
               MEA      104       7    0.309980  -0.132994    0.031202    0.000000    1.0363      1   0.493683  -0.275243    0.068620    0.000000   
           METHANE     1134       2    0.477382  -0.221533    0.059578    0.000000    1.0584      1   0.476640  -0.266902    0.082060    0.000000   
          METHANOL      667       7    0.309980  -0.132994    0.031202    0.000000    1.1723      1   0.205492  -0.075570    0.016786    0.000000   
       MILPRF23699        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MLINOLEA       22       6    0.208989  -0.071777    0.013392    0.000000    1.1217      1   0.218500  -0.078779    0.014677    0.000000   
          MLINOLEN       41       6    0.208989  -0.071777    0.013392    0.000000    1.6709      1   0.120035  -0.033416    0.005137    0.000000   
                MM       18       6    0.208989  -0.071777    0.013392    0.000000    0.7459      1   0.782048  -0.476913    0.121586    0.000000   
           MOLEATE       54       6    0.208989  -0.071777    0.013392    0.000000    1.1706      1   0.212587  -0.075416    0.013801    0.000000   
          MPALMITA       26       6    0.208989  -0.071777    0.013392    0.000000    1.1742      1   0.286847  -0.109322    0.020352    0.000000   
          MSTEARAT       16       6    0.208989  -0.071777    0.013392    0.000000    1.3217      1   0.028089   0.005183   -0.001597    0.000000   
           MXYLENE      479       4    0.335355  -0.167823    0.043342    0.000000    1.0033      1   0.335319  -0.159765    0.039515    0.000000   
               N2O      810       2    0.477382  -0.221533    0.059578    0.000000    1.1918      1   0.462238  -0.734159    0.493211    0.000000   
              NEON      106       2    0.477382  -0.221533    0.059578    0.000000    0.8976      1   0.776334  -0.529054    0.170160    0.000000   
          NEOPENTN      141       3    0.448576  -0.231852    0.061359    0.000000    0.8934      1   0.550383  -0.329021    0.098427    0.000000   
               NF3      156       3    0.448576  -0.231852    0.061359    0.000000    0.8253      0   0.000000   0.000000    0.000000    0.000000   
          NITROGEN     1602       2    0.477382  -0.221533    0.059578    0.000000    1.0009      1   0.488975  -0.276362    0.089193    0.000000   
            NONANE      232       5    0.304857  -0.134210    0.030872    0.000000    0.9835      1   0.394443  -0.196596    0.047050    0.000000   
          NOVEC649        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OCTANE      768       5    0.304857  -0.134210    0.030872    0.000000    0.9484      1   0.353414  -0.168219    0.040450    0.000000   
          ORTHOHYD        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OXYGEN      118       2    0.477382  -0.221533    0.059578    0.000000    0.6560      0   0.000000   0.000000    0.000000    0.000000   
           OXYLENE      380       4    0.335355  -0.167823    0.043342    0.000000    0.9573      1   0.411176  -0.216512    0.055829    0.000000   
           PARAHYD        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PENTANE     1173       3    0.448576  -0.231852    0.061359    0.000000    1.0799      1   0.475976  -0.256622    0.065845    0.000000   
              POE5        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE7        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE9        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
        PROPADIENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PROPANE     1538       3    0.448576  -0.231852    0.061359    0.000000    1.0000      1   0.429662  -0.211213    0.054773    0.000000   
          PROPYLEN      215       4    0.335355  -0.167823    0.043342    0.000000    0.8263      1   0.585183  -0.363245    0.102416    0.000000   
    PROPYLENEOXIDE       23       3    0.448576  -0.231852    0.061359    0.000000    1.0760      1   0.555161  -0.339156    0.093580    0.000000   
           PROPYNE       11       3    0.448576  -0.231852    0.061359    0.000000    1.0213      0   0.000000   0.000000    0.000000    0.000000   
           PXYLENE      350       4    0.335355  -0.167823    0.043342    0.000000    0.9980      1   0.421684  -0.232299    0.060630    0.000000   
               R11      290       3    0.448576  -0.231852    0.061359    0.000000    0.9591      1   0.489214  -0.265623    0.072772    0.000000   
             R1123        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R113      247       3    0.448576  -0.231852    0.061359    0.000000    0.9384      1   0.551141  -0.318505    0.089012    0.000000   
              R114      200       3    0.448576  -0.231852    0.061359    0.000000    0.9625      1   0.468927  -0.243935    0.065260    0.000000   
              R115      249       3    0.448576  -0.231852    0.061359    0.000000    0.9472      1   0.433851  -0.215884    0.058277    0.000000   
              R116      181       3    0.448576  -0.231852    0.061359    0.000000    1.1960      0   0.000000   0.000000    0.000000    0.000000   
               R12      422       3    0.448576  -0.231852    0.061359    0.000000    0.9769      1   0.439616  -0.217569    0.056814    0.000000   
             R1216        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          R1224YDZ      108       3    0.448576  -0.231852    0.061359    0.000000    1.1213      1   0.289218  -0.097670    0.018506    0.000000   
              R123      170       3    0.448576  -0.231852    0.061359    0.000000    1.0304      1   0.407178  -0.199569    0.051538    0.000000   
          R1233ZDE       92       3    0.448576  -0.231852    0.061359    0.000000    1.1151      1   0.444530  -0.242982    0.063955    0.000000   
           R1234YF      164       3    0.448576  -0.231852    0.061359    0.000000    1.0729      1   0.427405  -0.225626    0.059471    0.000000   
          R1234ZEE      178       3    0.448576  -0.231852    0.061359    0.000000    1.0894      1   0.460510  -0.269173    0.075269    0.000000   
          R1234ZEZ        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R124      202       3    0.448576  -0.231852    0.061359    0.000000    1.0256      1   0.461387  -0.247525    0.065849    0.000000   
           R1243ZF        0       0    0.000000   0.000000    0.000000    0.000000    1.1500      0   0.000000   0.000000    0.000000    0.000000   
              R125      512       3    0.448576  -0.231852    0.061359    0.000000    1.0265      1   0.391915  -0.179447    0.044167    0.000000   
               R13      826       3    0.448576  -0.231852    0.061359    0.000000    0.9657      1   0.445809  -0.232974    0.063465    0.000000   
         R1336MZZZ       97       3    0.448576  -0.231852    0.061359    0.000000    1.1537      1   0.296168  -0.111184    0.023243    0.000000   
             R134A      939       3    0.448576  -0.231852    0.061359    0.000000    1.0696      1   0.427571  -0.226385    0.060007    0.000000   
               R14      376       3    0.448576  -0.231852    0.061359    0.000000    1.0460      1   0.471105  -0.327958    0.116631    0.000000   
             R141B       97       3    0.448576  -0.231852    0.061359    0.000000    0.9744      1   0.486238  -0.272596    0.075873    0.000000   
             R142B      187       3    0.448576  -0.231852    0.061359    0.000000    1.0033      1   0.317950  -0.103126    0.019942    0.000000   
             R143A      330       3    0.448576  -0.231852    0.061359    0.000000    1.0535      1   0.282289  -0.056366   -0.000548    0.000000   
              R150       65       3    0.448576  -0.231852    0.061359    0.000000    1.0478      1   0.556772  -0.337591    0.093408    0.000000   
             R152A      474       3    0.448576  -0.231852    0.061359    0.000000    1.0814      1   0.395116  -0.203500    0.054021    0.000000   
              R161       78       3    0.448576  -0.231852    0.061359    0.000000    1.0527      0   0.000000   0.000000    0.000000    0.000000   
               R21      272       3    0.448576  -0.231852    0.061359    0.000000    1.0224      1   0.392940  -0.181158    0.045045    0.000000   
              R218      358       3    0.448576  -0.231852    0.061359    0.000000    0.9997      1   0.396556  -0.180704    0.045530    0.000000   
               R22     1090       3    0.448576  -0.231852    0.061359    0.000000    1.0225      1   0.468337  -0.260377    0.070834    0.000000   
            R227EA      169       3    0.448576  -0.231852    0.061359    0.000000    1.0494      1   0.486972  -0.274289    0.073854    0.000000   
               R23      849       3    0.448576  -0.231852    0.061359    0.000000    1.0937      1   0.350707  -0.166509    0.042995    0.000000   
            R236EA       37       3    0.448576  -0.231852    0.061359    0.000000    1.0475      1   0.494672  -0.284364    0.077830    0.000000   
            R236FA      155       3    0.448576  -0.231852    0.061359    0.000000    1.0947      1   0.451433  -0.250022    0.066830    0.000000   
            R245CA       84       3    0.448576  -0.231852    0.061359    0.000000    1.0319      1   0.491769  -0.279692    0.076452    0.000000   
            R245FA      219       3    0.448576  -0.231852    0.061359    0.000000    1.0810      1   0.412564  -0.214614    0.056463    0.000000   
               R32      334       3    0.448576  -0.231852    0.061359    0.000000    1.1356      1   0.404203  -0.238127    0.069565    0.000000   
           R365MFC        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               R40       35       3    0.448576  -0.231852    0.061359    0.000000    0.9937      1   0.374997  -0.172925    0.046658    0.000000   
               R41        2       3    0.448576  -0.231852    0.061359    0.000000    0.9871      0   0.000000   0.000000    0.000000    0.000000   
             RC318       59       3    0.448576  -0.231852    0.061359    0.000000    0.9714      1   0.536060  -0.303961    0.082922    0.000000   
            RE143A        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          RE245CB2        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          RE245FA2       20       3    0.448576  -0.231852    0.061359    0.000000    1.1296      1   0.442842  -0.237179    0.061139    0.000000   
          RE347MCC       92       3    0.448576  -0.231852    0.061359    0.000000    1.1121      1   0.353294  -0.161227    0.039452    0.000000   
               SF6     3200       2    0.477382  -0.221533    0.059578    0.000000    1.0646      1   0.295358   0.000176   -0.027718    0.000000   
               SO2      628       2    0.477382  -0.221533    0.059578    0.000000    1.2804      1   0.078587   0.088903   -0.035617    0.000000   
          T2BUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           TOLUENE     1547       4    0.335355  -0.167823    0.043342    0.000000    0.9161      1   0.428300  -0.238025    0.064486    0.000000   
     VINYLCHLORIDE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             WATER     2220       8    0.386026  -0.274834    0.083338    0.000000    1.0090      1   0.373264  -0.264681    0.080232    0.000000   
             XENON     2410       2    0.477382  -0.221533    0.059578    0.000000    0.9785      1   0.504372  -0.229329    0.058105    0.000000   
